epoch,$\hat h_1$,$\hat h_2$,$\hat h_3$
1,60.74709774017334,67.24795234680175,72.03161949157715
2,27.77207660675049,29.72921543121338,29.52176601409912
3,27.636770248413086,26.89396427154541,30.00415760040283
4,23.77690002441406,26.528812465667723,31.198664932250978
5,23.80382831573486,27.086408920288086,30.864724426269532
6,29.222578945159913,30.19392795562744,26.29062255859375
7,20.60899309158325,27.74819438934326,25.19445667266846
8,26.940546607971193,24.808809394836427,23.16891456604004
9,24.65443887710571,27.1023189163208,25.088654022216797
10,24.1394557762146,22.70623508453369,29.128202476501464
11,24.793784580230714,24.45193155288696,25.134098091125487
12,23.422047805786132,27.659879722595214,22.873946266174315
13,23.790701599121093,21.89456174850464,23.014468364715576
14,26.24415424346924,24.264986820220948,24.117859077453613
15,22.963347206115724,23.962874946594237,22.973115406036378
16,25.964183692932128,21.99337989807129,26.721773281097413
17,24.307088956832885,26.05311050415039,27.05850486755371
18,21.385916023254396,23.963238258361816,26.091933364868165
19,24.815185527801514,21.01085735321045,20.915404510498046
20,27.395601768493652,24.282291717529297,23.766913414001465
21,20.52985719680786,25.017830276489256,25.290811882019042
22,25.270853786468507,24.0050065612793,21.00612371444702
23,25.94814796447754,21.126101989746093,28.40020128250122
24,24.875173492431642,22.70507169723511,21.261681461334227
25,24.993755950927735,27.01776840209961,25.20019775390625
26,23.725593032836915,22.424931716918945,20.400232467651367
27,23.623265075683594,21.839080181121826,21.41884738922119
28,25.953717308044432,22.604726371765135,24.494038553237914
29,26.376172294616698,22.98624303817749,27.054640655517577
30,21.053321228027343,26.86452434539795,21.21321018218994
31,25.145410270690917,26.660882720947267,21.101704750061035
32,22.473063507080077,24.40069932937622,19.59769253730774
33,25.71356397628784,22.906352081298827,25.30985191345215
34,19.64151512145996,28.129866127967833,21.218217887878417
35,26.983228149414064,19.970742225646973,23.719150009155275
36,21.40445171356201,26.68850654602051,24.67768341064453
37,25.100001449584962,24.29513370513916,23.255178413391114
38,23.824892044067383,24.81758857727051,24.208675994873047
39,21.43896354675293,22.01317596435547,21.81164655685425
40,22.23372913360596,22.273140411376954,23.64621826171875
41,27.645677642822264,18.694823760986328,22.870152339935302
42,20.5295521736145,20.36419174194336,23.155853233337403
43,20.40357831954956,24.14462356567383,21.542321157455444
44,24.85504283905029,21.92552101135254,26.449071197509767
45,21.551097412109375,21.543013591766357,24.521612854003905
46,22.68645050048828,24.915199851989748,24.281800270080566
47,22.607537689208986,22.2516153717041,24.220136165618896
48,22.528203201293945,23.783029441833495,22.010977869033812
49,24.251511878967285,25.16793025970459,26.75706386566162
50,27.436839561462403,23.773122634887695,23.34083625793457
