epoch,$\hat h_1$,$\hat h_2$,$\hat h_3$
1,46.739154453277585,49.34003843307495,51.56596612930298
2,29.013079137802123,31.460458993911743,29.688386402130128
3,27.09623435974121,25.112847881317137,28.238766326904297
4,28.196012477874756,27.336226720809936,26.293550577163696
5,26.71935589790344,27.276030120849608,21.41777081489563
6,23.688832807540894,24.31712476730347,20.84827485561371
7,25.38305694580078,22.091892814636232,24.763130416870116
8,23.673787505626677,24.795346002578736,24.657051906585693
9,26.906489343643187,24.328851461410522,22.32763737678528
10,21.389520750045776,24.479715056419373,22.98796745300293
11,25.236648540496827,24.366333198547363,24.61795413017273
12,25.118563680648805,26.318710613250733,22.90331912994385
13,24.08694172859192,24.373546991348267,22.560300445556642
14,24.534058809280396,22.817201597690584,25.69121304512024
15,22.407646141052247,20.41390405654907,24.381880836486815
16,24.05614772796631,20.65177227973938,23.03490348815918
17,20.578752059936523,20.58228455543518,23.86879030227661
18,22.380062561035157,22.93516942977905,22.947523517608644
19,23.13478322982788,23.49517092704773,21.049845210313798
20,23.35684998512268,23.804596767425537,22.87309853553772
21,22.942111358642578,21.50202000617981,24.18676287651062
22,21.945939550399782,25.508920783996583,22.468300499916076
23,24.803912658691406,24.793441619873047,24.710516452789307
24,22.791690216064453,22.04127815246582,22.999006357192993
25,24.442841777801515,20.47703261375427,24.086558828353883
26,21.407346496582033,22.65024025917053,28.022345485687257
27,23.805948333740233,24.250431413650514,24.03847620010376
28,22.534574966430664,20.951919231414795,22.283669567108156
29,22.497983856201174,21.78915415763855,21.365889072418213
30,22.254654197692872,21.991087245941163,22.75898455619812
31,22.5829340839386,21.615829639434814,22.457641954421998
32,21.739306263923645,20.661893615722658,21.80327847957611
33,22.790646748542784,23.87790307044983,23.09611328125
34,22.50985587120056,21.493187608718873,23.040516242980956
35,22.670223197937013,21.06186906337738,23.682942466735838
36,23.227168216705323,21.997200660705566,20.931806230545043
37,20.45883427619934,23.11300163269043,21.789530758857726
38,24.093906860351563,22.41700996398926,21.71923130989075
39,22.175198831558227,21.990505356788635,22.90579263687134
40,22.36232536315918,19.86157307624817,25.221824445724486
41,22.1257745552063,22.570960655212403,22.47404688835144
42,22.283695697784424,22.14653033256531,21.744478101730348
43,22.53568395614624,21.901353759765627,22.928730306625365
44,22.923676090240477,20.12319811820984,23.30335392475128
45,23.47192286014557,22.804328470230104,25.08413516998291
46,23.15622405052185,21.36341305732727,22.807752780914306
47,23.348465390205384,23.1746848487854,20.409087295532228
48,20.384863176345824,23.427194967269898,21.74374011993408
49,20.72370936155319,19.693387985229492,21.539305033683778
50,24.696953811645507,24.1902316570282,20.697712202072143
51,21.7324036693573,22.421055727005005,23.265263814926147
52,23.409347076416015,19.155918188095093,23.28115580558777
53,20.005522546768187,22.40551923751831,23.225096969604493
54,20.740593881607055,24.7940811252594,19.967038974761962
55,22.580580358505248,20.247958726882935,19.180261154174804
56,21.273645963668823,21.931153068542482,24.28453450202942
57,22.91999351978302,22.431404132843017,23.043705854415894
58,21.755551500320436,18.627106337547303,24.3989369392395
59,22.746726508140565,24.00889536857605,21.987806015014648
60,19.955099353790285,20.679227075576783,20.897070713043213
61,22.295332832336427,21.459245958328246,23.689569425582885
62,21.82495698928833,21.720526113510132,24.818760452270507
63,21.203237028121947,20.625739789009096,23.672297134399415
64,23.15743663787842,23.17789896965027,22.30308891296387
65,21.20321802139282,23.336370449066163,24.772063369750978
66,20.745824670791627,20.95830163002014,23.36822301864624
67,23.437522745132448,18.951476843357085,20.40196626663208
68,23.941215648651124,22.233121423721315,20.722323474884032
69,23.17288459300995,20.612067997455597,20.467718906402588
70,21.93174283027649,22.17840356826782,22.712753973007203
71,24.977856295108793,24.869225749969484,19.873522262573243
72,21.283507738113403,23.171796340942382,23.706685810089112
73,22.010616855621336,22.45068254470825,23.066878662109374
74,22.38902421951294,20.85944613933563,21.40904191017151
75,21.405453491210938,22.055719909667967,20.97129460334778
76,24.391798157691955,20.936451354026794,21.228203377723695
77,21.064234218597413,23.449410161972047,21.378365812301634
78,23.289336938858032,20.56150068283081,24.75608100891113
79,21.796837453842162,21.748872184753417,22.840029258728027
80,20.659662556648254,21.407044324874878,23.590911684036254
81,21.799615812301635,22.538906774520875,21.54690850734711
82,20.4977139377594,22.868629627227783,22.522331161499025
83,20.927074909210205,22.32909814834595,23.05575351715088
84,22.04395935535431,23.47381974697113,20.75818547487259
85,22.653258514404296,22.245702977180482,20.609963026046753
86,20.575947713851928,21.6200564289093,22.14622184753418
87,21.084595718383788,20.74491611480713,23.684402256011964
88,21.65163689613342,22.50747694015503,25.02168689727783
89,24.910735569000245,22.25788312911987,20.20418394088745
90,22.828264751434325,19.432074737548827,22.049045972824096
91,19.210480461120607,23.106334352493285,21.235290689468385
92,20.962641224861144,21.74443859100342,21.02046216726303
93,23.041604194641113,23.17442048072815,21.75351802825928
94,20.96088210105896,22.954367055892945,21.814613628387452
95,22.524043645858765,21.997858858108522,19.813009815216063
96,22.68094388961792,20.60528393268585,21.660013303756713
97,21.969429416656496,22.329757809638977,22.46381319999695
98,23.311423153877257,20.450623264312743,22.431255989074707
99,19.590400857925417,20.389662895202637,21.448033094406128
100,19.84181531906128,24.02946159362793,21.56641909122467
